"year"," month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del15","carrier_ct"," weather_ct","nas_ct","security_ct","late_aircraft_ct","arr_cancelled","arr_diverted"," arr_delay"," carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay",
2016,11,"OO","SkyWest Airlines Inc.","BWI","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",80.00,15.00,6.63,0.00,2.80,0.00,5.57,0.00,0.00,1674.00,1280.00,0.00,82.00,0.00,312.00,
2016,11,"OO","SkyWest Airlines Inc.","LGA","New York, NY: LaGuardia",3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2016,11,"OO","SkyWest Airlines Inc.","IAD","Washington, DC: Washington Dulles International",31.00,10.00,1.88,1.25,1.75,0.00,5.12,0.00,0.00,669.00,269.00,100.00,91.00,0.00,209.00,
2016,11,"OO","SkyWest Airlines Inc.","DCA","Washington, DC: Ronald Reagan Washington National",12.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,37.00,20.00,0.00,17.00,0.00,0.00,
2016,11,"UA","United Air Lines Inc.","LAX","Los Angeles, CA: Los Angeles International",2323.00,478.00,131.46,5.77,243.48,0.00,97.29,6.00,5.00,22451.00,6858.00,436.00,7906.00,0.00,7251.00,
2016,11,"UA","United Air Lines Inc.","PHX","Phoenix, AZ: Phoenix Sky Harbor International",595.00,89.00,21.60,2.35,36.20,0.00,28.85,1.00,3.00,5963.00,1766.00,363.00,2003.00,0.00,1831.00,
2016,11,"UA","United Air Lines Inc.","MCO","Orlando, FL: Orlando International",949.00,105.00,47.18,2.01,18.44,0.00,37.37,2.00,0.00,7430.00,3308.00,173.00,922.00,0.00,3027.00,
2016,11,"UA","United Air Lines Inc.","HNL","Honolulu, HI: Daniel K Inouye International",407.00,54.00,36.32,0.00,8.32,0.00,9.36,2.00,0.00,3697.00,2344.00,0.00,200.00,0.00,1153.00,
2016,11,"UA","United Air Lines Inc.","DEN","Denver, CO: Denver International",4896.00,419.00,164.39,10.49,102.09,0.00,142.03,20.00,2.00,29742.00,12403.00,1261.00,4549.00,0.00,11529.00,
2016,11,"UA","United Air Lines Inc.","BOS","Boston, MA: Logan International",1007.00,171.00,59.92,1.50,50.94,0.00,58.64,1.00,0.00,9240.00,3307.00,101.00,1684.00,0.00,4148.00,
2016,11,"UA","United Air Lines Inc.","IAH","Houston, TX: George Bush Intercontinental/Houston",4687.00,474.00,168.30,7.39,125.41,0.00,172.90,8.00,5.00,29186.00,10997.00,539.00,4390.00,0.00,13260.00,
2016,11,"UA","United Air Lines Inc.","TPA","Tampa, FL: Tampa International",475.00,41.00,12.33,1.50,8.90,0.00,18.27,0.00,0.00,2343.00,668.00,116.00,475.00,0.00,1084.00,
2016,11,"UA","United Air Lines Inc.","DCA","Washington, DC: Ronald Reagan Washington National",484.00,83.00,30.27,1.24,15.86,0.00,35.63,3.00,0.00,4710.00,1640.00,61.00,541.00,0.00,2468.00,
2016,11,"UA","United Air Lines Inc.","EWR","Newark, NJ: Newark Liberty International",4314.00,952.00,201.17,7.43,571.40,0.00,172.01,5.00,9.00,59197.00,12641.00,640.00,31107.00,0.00,14809.00,
